participant_id,day,session_label,mean_wpm,mean_errors_per_phrase,error_rate_per_phrase,mean_cer,mean_accuracy,n_trials,n_selections,n_errors,error_rate_per_keystroke,n_late_err,n_early_err,n_other_err,early_share_of_err,late_share_of_err,other_share_of_err,early_err_per_key,late_err_per_key,other_err_per_key,mean_trigger_offset_ms,median_trigger_offset_ms,mean_gaze_pinch_latency_ms,median_gaze_pinch_latency_ms,mean_approach_latency_ms,mean_fixation_dwell_ms,mean_key_hold_ms,mean_fixation_ms,mean_corrective_saccades
P04,2,experiment_2,8.755294568613374,0.8,0.7,0.16,0.8400000000000001,10,50,8,0.16,1,4,3,0.5,0.125,0.375,0.08,0.02,0.06,-2.8,0.0,540.375,496.5,700.4634146341464,185.4390243902439,143.36,99.23762445887446,0.9400000000000001
P04,2,experiment_3,8.432781999256502,0.7,0.5,0.14,0.86,10,50,7,0.14,6,0,1,0.0,0.8571428571428571,0.14285714285714285,0.0,0.12,0.02,31.48,0.0,688.0425531914893,670.0,834.3684210526316,198.28947368421052,138.70212765957447,104.06370286576168,0.9800000000000001
P04,2,experiment_4,7.840682654271596,0.5,0.4,0.1,0.9,10,50,5,0.1,1,2,2,0.4,0.2,0.4,0.04,0.02,0.04,4.48,0.0,553.9545454545455,534.0,716.8888888888889,185.77777777777777,138.6734693877551,99.35411616161616,1.6599999999999997
P04,2,experiment_5,8.476698616738975,0.5,0.3,0.1,0.9,10,50,5,0.1,2,1,2,0.2,0.4,0.4,0.02,0.04,0.04,6.64,0.0,639.2558139534884,669.0,770.6363636363636,164.93939393939394,124.18,102.30955827505827,0.9799999999999999
P04,3,experiment_1,9.980754180509923,0.3,0.3,0.06000000000000001,0.9400000000000001,10,50,3,0.06,0,1,2,0.3333333333333333,0.0,0.6666666666666666,0.02,0.0,0.04,0.42,0.0,585.3829787234042,597.0,717.4864864864865,176.9189189189189,156.10638297872342,95.5780223942724,1.08
P04,3,experiment_2,6.842110993667984,0.9,0.6,0.18,0.82,10,50,9,0.18,2,4,3,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.08,0.04,0.06,-1.64,0.0,762.2820512820513,734.0,866.0645161290323,140.48387096774192,141.15555555555557,103.3930886038626,2.0
P04,3,experiment_3,5.878326177807066,0.4,0.3,0.08,0.9199999999999999,10,50,4,0.08,2,1,1,0.25,0.5,0.25,0.02,0.04,0.02,15.84,0.0,624.4736842105264,619.5,842.2941176470588,269.0882352941176,140.36363636363637,98.75605466428996,2.48
P04,3,experiment_4,5.607947062822895,0.6,0.5,0.12000000000000002,0.8800000000000001,10,50,6,0.12,2,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.04,0.04,0.04,2.02,0.0,920.1470588235294,828.0,1079.0,189.41666666666666,136.8,98.00434603811827,2.9
P04,3,experiment_5,6.944453257464248,0.3,0.3,0.06000000000000001,0.9400000000000001,10,50,3,0.06,0,0,3,0.0,0.0,1.0,0.0,0.0,0.06,0.12,0.0,617.8235294117648,645.0,849.9629629629629,290.74074074074076,144.0888888888889,98.01476885114033,2.34
P05,1,experiment_1,4.326568597125626,1.3,0.7,0.26,0.74,10,50,13,0.26,9,1,3,0.07692307692307693,0.6923076923076923,0.23076923076923078,0.02,0.18,0.06,298.22,0.0,536.25,517.0,641.3157894736842,165.81578947368422,144.67857142857142,95.44733942414175,4.46
P05,1,experiment_2,2.482664811166017,2.0,0.9,0.4,0.6,10,50,21,0.42,8,9,4,0.42857142857142855,0.38095238095238093,0.19047619047619047,0.18,0.16,0.08,949.1304347826087,0.0,563.8285714285714,652.0,706.6666666666666,237.1,127.71428571428571,100.6968525098321,4.34
P05,1,experiment_3,3.313872158330413,1.5,0.9,0.3,0.7,10,50,15,0.3,6,6,3,0.4,0.4,0.2,0.12,0.12,0.06,219.75,0.0,497.725,476.5,707.0571428571428,237.5142857142857,124.74074074074075,101.76357446276862,4.78
P05,1,experiment_4,3.2368154803361984,1.7,1.0,0.34,0.6599999999999999,10,50,17,0.34,11,2,4,0.11764705882352941,0.6470588235294118,0.23529411764705882,0.04,0.22,0.08,86.14,0.0,540.3913043478261,460.0,701.9722222222222,226.16666666666666,143.25,97.42347535505431,6.159999999999999
P05,1,experiment_5,1.7013884326483761,2.6,1.0,0.52,0.48,10,50,26,0.52,14,5,7,0.19230769230769232,0.5384615384615384,0.2692307692307692,0.1,0.28,0.14,374.2040816326531,0.0,566.2368421052631,578.5,749.34375,224.84375,145.14285714285714,89.90744047619049,8.940000000000001
P05,2,experiment_1,3.4647882233501286,1.3,0.8,0.26,0.74,10,50,13,0.26,9,2,2,0.15384615384615385,0.6923076923076923,0.15384615384615385,0.04,0.18,0.04,309.28,0.0,711.6,652.0,814.7391304347826,198.2173913043478,115.53846153846153,101.43319673195361,5.32
P05,2,experiment_2,7.133441800862921,0.4,0.3,0.08,0.9199999999999999,10,50,4,0.08,1,1,2,0.25,0.25,0.5,0.02,0.02,0.04,-5.54,0.0,669.3181818181819,652.0,815.8235294117648,155.7941176470588,112.75,103.19561594202898,2.54
P05,2,experiment_3,6.464326922653084,0.8,0.6,0.16,0.8400000000000001,10,50,8,0.16,2,3,3,0.375,0.25,0.375,0.06,0.04,0.06,5.68,0.0,494.09302325581393,567.0,733.4871794871794,238.15384615384616,114.29032258064517,97.65321110176619,2.7199999999999998
